Spices,"0709, 09"
Pimento,"0709, 0904"
"Vegetables, edible - Provisionally preserved",0711
"Beans - Field, including horse and tic",0713
"Beans - Leguminous, for sowing",0713
Field beans,0713
Horse beans,0713
"Lentils, dried",0713
Seeds - Leguminous vegetable,0713
Split peas,0713
Tic beans,0713
"Arrowroot, fresh or dried",0714
"Dasheens, fresh or dried",0714
"Jerusalem artichokes, fresh or dried",0714
"Manioc, fresh or dried, chilled or frozen",0714
"Sweet potatoes, fresh, chilled, frozen or dried",0714
"Fruit, edible, including peel and nuts - Dried",08
"Fruit, edible, including peel and nuts - Fresh",08
"Brazil nuts, fresh or dried",0801
"Cashew nuts, fresh or dried",0801
"Coconuts, fresh or dried",0801
Desiccated coconut,0801
Almond nuts -  Fresh or dried,0802
Areca and cola nuts,0802
"Betel nuts, fresh or dried",0802
"Chestnuts, fresh or dried",0802
Cola (kola) nuts,0802
"Hazel nuts (filberts), fresh or dried",0802
"Pecan nuts, fresh or dried",0802
"Pistachio nuts, fresh or dried",0802
"Walnuts, fresh or dried",0802
"Bananas, including plantains, fresh or dried",0803
"Plantains, fresh or dried",0803
Avocados fresh or dried,0804
"Dates, fresh or dried",0804
"Figs, fresh or dried",0804
"Guavas, fresh or dried",0804
"Mangoes, fresh or dried",0804
"Mangosteens, fresh or dried",0804
"Pears, avocado, fresh or dried",0804
"Pineapples, fresh or dried",0804
Raisins,0806
Sultanas,0806
Pears and quinces,0808
"Cherries, fresh",0809
"Peaches, fresh",0809
"Plums, fresh",0809
"Berries, fresh",0810
"Fruit, edible, including peel and nuts - Frozen","0811, 2004"
"Fruit, edible, including peel and nuts - Provisionally preserved",0812
"Coffee - Raw, roasted and filter",0901
Coffee - Substitutes - Containing coffee,0901
Tea,0902
Mate,0903
Allspice - dried,0904
Pepper,0904
Peppercorns,0904
Vanilla,0905
Cinnamon,0906
Cloves,0907
Cardamoms,0908
Mace,0908
Nutmegs,0908
Anise seeds,0909
Badian seeds,0909
Caraway seeds,0909
Coriander seeds,0909
Cumin seeds,0909
Fennel seeds,0909
Juniper seeds,0909
Seeds - Spice,0909
Bay leaves,0910
Ginger (spices),0910
Saffron,0910
Thyme,0910
Meslin,"1001, 1101"
Wheat,"1001, 1101, 1103"
Rye,"1002, 1102, 1103, 1104"
Barley,"1003, 1102, 1103, 1104"
Oats,"1004, 1103, 1104"
Maize (excluding sweetcorn),"1005, 1102,1103, 1104"
Rice,"1006, 1102, 1103"
Dari,1007
Durra,1007
